category,source,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1B,-999,EM,GHGa,GgCO2eq,BE,942.4970442,816.8867843,678.9841033,717.715063,620.6407738,627.9348898,619.2765431,591.4452955,578.6006042,588.8691581,631.4759647,607.3672825,588.998459,528.366663,513.853301,530.7303306,553.9752393,536.4283364,514.5686602,516.1151121,548.6713367,500.822366,476.8354424
1B,-999,EM,GHGa,GgCO2eq,BG,2549.378901,2120.506622,2190.255512,2192.061816,2151.447964,2302.076284,2270.530518,2170.536776,1827.817624,1474.451993,1653.199963,1501.582581,1461.350269,1553.38738,1324.101235,1443.813201,1358.04587,1493.42922,1490.490972,1290.603923,1398.755989,1761.843582,1580.370859
1B,-999,EM,GHGa,GgCO2eq,CY,0.923279208,1.082965863,1.055383623,1.133775254,1.315237362,1.202005006,1.103289619,1.514119833,1.570736011,1.713002304,1.702840426,1.678161579,1.576542798,1.409597659,0.403571729,0,0,0,0,0,0,0,0
1B,-999,EM,GHGa,GgCO2eq,CZ,8958.355414,7906.835852,7529.109478,7324.695086,6964.339017,6846.25537,6719.078942,6595.843339,6410.110225,5862.16654,5166.331359,4847.722719,4510.13731,4403.439745,4210.467426,4616.07359,4826.130109,4469.535174,4473.02991,4148.289118,4255.032119,4217.20909,4076.241977
1B,-999,EM,GHGa,GgCO2eq,DE,29985.31513,29542.77121,27603.11186,28468.23251,26106.80784,24192.92112,23637.41313,23323.6488,21021.14763,22499.87405,21486.41441,19782.89142,19008.50688,17916.47664,15491.66259,14221.86446,13464.9206,11842.636,11724.07278,10596.24894,10187.40546,10039.22666,10629.87212
1B,-999,EM,GHGa,GgCO2eq,DK,372.2873837,702.2088193,719.8916862,638.2735184,634.5494077,523.1790743,564.6695302,772.0148067,590.4827086,1178.034994,806.1451703,861.057841,739.1841029,763.9458845,863.5406118,653.6070164,670.3490798,677.6695947,520.3220702,384.3284912,469.8237021,367.2138061,327.1687481
1B,-999,EM,GHGa,GgCO2eq,EE,177.5435626,178.0460378,104.0054445,51.60594008,74.10990025,84.51287044,93.20049412,90.56336543,85.95445459,83.67425659,96.1876228,103.2777217,86.50544468,95.32821687,112.4782167,116.0232662,117.4579196,116.8341572,111.9653454,76.0435636,81.61930611,73.58663293,76.56683092
1B,-999,EM,GHGa,GgCO2eq,ES,4104.874978,3965.304185,4153.733738,4070.187489,4288.699644,4066.977087,4000.683847,4186.270634,4170.636954,3875.046331,4104.738182,3923.624439,4020.914619,3576.702792,3916.907384,3936.31443,3798.272928,3836.722754,3359.258125,3218.984381,3254.377535,3733.835389,4389.204888
1B,-999,EM,GHGa,GgCO2eq,FI,230.7822373,250.3616308,274.9214225,339.8830976,246.1893146,250.9834477,237.6231477,267.9722449,216.465718,186.8906878,183.3745312,186.9236821,181.7269442,181.0844762,170.0359885,191.6934536,170.003112,182.9520916,188.8558849,160.1997492,177.9095976,158.2652057,173.0100713
1B,-999,EM,GHGa,GgCO2eq,FR,10012.05602,9796.59931,9911.832935,9833.31106,10147.95873,9930.582415,9043.704342,8498.460151,8336.110085,7875.058356,7932.414429,7029.790151,6605.501431,6162.62935,5772.074155,5425.12386,5662.266915,5808.896142,6096.654786,5786.867298,5467.789867,5204.956616,4612.018541
1B,-999,EM,GHGa,GgCO2eq,GB,35336.72098,35249.09174,35356.69464,33962.88817,28122.18669,30694.80569,29978.0948,26706.36159,24323.06879,21074.11845,19390.34217,18555.60096,17756.97653,16178.64593,15916.26545,15094.63381,13577.56924,13335.12235,12185.67541,12216.31824,11948.02803,11449.80997,11019.21408
1B,-999,EM,GHGa,GgCO2eq,GR,1257.278036,1271.968751,1298.768097,1267.496876,1300.562813,1311.295194,1413.581185,1395.464808,1441.080566,1418.519891,1509.951033,1555.833168,1642.991273,1597.299921,1636.559546,1619.018888,1526.556861,1569.768906,1558.921295,1552.531945,1391.610149,1436.667902,1536.298927
1B,-999,EM,GHGa,GgCO2eq,HR,1891.520585,1790.608713,1795.802192,2130.643144,1906.772196,2042.697578,2011.261251,2026.568213,1782.207083,1745.913977,1851.490199,2031.739841,2096.821309,2058.712754,2134.835178,2112.184495,2263.106353,2370.136775,2186.88105,2068.644103,2089.293007,2004.857677,1736.01136
1B,-999,EM,GHGa,GgCO2eq,HU,2492.92888,2521.132696,2345.77621,2383.464132,2559.191586,2624.749757,2678.477601,2644.236108,2616.322777,2538.3297,2586.229302,2441.223952,2455.167916,2471.422088,2309.511879,2205.876509,2220.619223,2213.344521,2258.261223,2297.229057,2360.109521,2324.171575,2222.259311
1B,-999,EM,GHGa,GgCO2eq,IE,131.2619459,127.5515737,123.0074719,121.9475455,118.1657543,114.3960494,110.3037933,105.784443,92.3900005,127.9051648,85.37583289,148.0744594,69.26340523,626.5779647,66.23542405,56.90313676,47.17127127,59.90117479,51.56631005,35.51965306,31.62250633,27.77487443,24.00332626
1B,-999,EM,GHGa,GgCO2eq,IT,10780.57369,10663.09755,10661.18791,10711.51807,10366.69702,10072.44273,9821.496147,9993.934149,9955.423192,9045.393394,9023.89563,8521.077167,8314.350428,8758.95742,7902.623622,7847.044759,7366.974644,7208.184737,7344.23969,7137.163171,7517.876758,7406.051801,7239.085628
1B,-999,EM,GHGa,GgCO2eq,LT,150.3534066,159.4188479,159.9114599,168.4674373,177.1725231,191.9264567,199.3431711,214.7564786,238.2386302,232.4138098,248.9212763,277.3925943,272.1498051,267.5219296,258.2570719,262.8629895,261.1431309,258.0515194,262.0000491,269.1876728,269.8488736,269.8292005,268.9779413
1B,-999,EM,GHGa,GgCO2eq,LU,16.28972186,16.89916773,17.63388774,18.30488673,18.4310739,21.01528306,22.98976729,23.51232169,23.69582657,24.53230526,25.17893432,28.05677362,40.16154233,40.70988135,45.14250085,44.41790472,46.61652741,43.61245142,41.70065383,42.14682616,45.33185014,39.28889408,40.20123612
1B,-999,EM,GHGa,GgCO2eq,LV,207.980645,200.330804,182.640477,174.671881,170.687582,166.225151,160.169005,149.49109,143.434923,136.741307,126.541483,122.716564,128.160799,100.03088,99.015747,111.878201,80.243901,82.376779,84.588914,79.909668,76.952557,41.633457,59.796751
1B,-999,EM,GHGa,GgCO2eq,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,-999,EM,GHGa,GgCO2eq,NL,2853.943336,2815.933661,2747.814763,2692.457618,2739.202142,2627.55951,2583.610584,2037.137213,1847.471438,1561.157973,1521.415929,1401.582842,2338.015485,2292.55246,2248.903469,2454.321472,2358.587351,2232.998638,2447.054368,2298.309698,2790.529125,2312.777029,1829.080648
1B,-999,EM,GHGa,GgCO2eq,PL,19030.57654,17238.46225,16238.02236,16220.28127,15908.90618,17436.6255,17579.60597,18807.02728,15864.38063,17138.2226,17528.20099,16733.54563,16057.99724,17089.11239,16922.47879,17212.57111,17296.55789,16410.15328,15467.53796,13948.9225,14305.01031,14862.97165,16501.47475
1B,-999,EM,GHGa,GgCO2eq,PT,392.874899,388.5560295,398.9194738,420.2682302,655.1902317,789.4094031,714.9970225,895.54068,935.5028963,939.6253204,868.6654768,1322.183998,1403.399738,1508.776327,1279.59215,1398.556906,1087.980952,1073.273652,1385.673098,1604.081493,1225.429293,1084.384353,1398.374724
1B,-999,EM,GHGa,GgCO2eq,RO,21651.6318,17128.97492,15076.61881,14448.71192,15053.19832,15068.81676,14669.64264,13792.73785,12297.29171,11791.59644,12745.09604,13002.9643,13621.65398,13308.75563,11941.29852,11788.0791,11144.00309,9674.882097,9583.191119,8772.48347,8431.284287,8515.874419,7909.716354
1B,-999,EM,GHGa,GgCO2eq,SE,374.8001881,336.2365652,373.2403307,399.6433591,350.0766288,389.6228428,382.953471,379.7887328,399.2619025,402.8441434,450.7227895,423.5672415,397.6978717,402.5807377,402.5650072,399.6457781,935.6143099,972.0316335,967.760003,983.3625327,954.0744648,948.6428748,952.0147282
1B,-999,EM,GHGa,GgCO2eq,SI,444.3544239,417.5835445,452.3387622,416.7919739,397.1930201,399.8647347,382.272967,402.1646252,393.8880082,367.8548772,360.6469701,333.3107579,373.1091807,383.7184668,379.9927847,360.1147222,357.8623274,357.8826208,357.254283,349.8618584,350.9266169,356.163017,341.0360478
1B,-999,EM,GHGa,GgCO2eq,SK,1084.798422,1129.776221,1137.822584,1127.832632,1186.552586,1235.612385,1256.006818,1272.592052,1326.983109,1291.38099,1320.708322,1285.181706,1248.384018,1198.090794,1136.091418,1010.887728,982.9606809,1028.406408,1068.141213,1148.728802,1048.232752,1096.681093,1094.428175
2A,-999,EM,GHGa,GgCO2eq,AT,3274.182134,3131.720868,3152.667916,3087.486164,3201.883772,2862.546783,2775.172523,2975.071193,2821.916694,2807.373035,2965.70594,2983.48607,3089.318632,3076.205049,3172.184111,3132.8728,3290.693495,3517.555615,3531.12189,2915.821275,2935.727191,3029.589627,2946.151524
2A,-999,EM,GHGa,GgCO2eq,BE,5750.984557,5382.336845,5586.39647,5565.972329,5899.24729,6193.009714,5670.345371,5881.111556,5967.427328,6054.043503,6145.721939,5803.630346,6323.366045,5832.12463,5805.718933,5765.199887,6045.579775,5898.671531,5961.229746,4690.976447,4804.552403,5095.9483,4691.11435
2A,-999,EM,GHGa,GgCO2eq,BG,3906.814926,2586.342773,2008.832561,1962.875344,2408.681447,3239.553865,3238.066221,2621.892538,1991.952686,1816.006414,2120.109789,2256.929267,2272.348582,2343.271915,2594.582779,2808.797109,2939.658032,3460.411413,3474.0017,2205.854463,2468.470244,2720.806162,2852.445517
2A,-999,EM,GHGa,GgCO2eq,CY,759.4414085,716.4383218,767.7435812,840.943413,873.6439248,838.9786603,898.8461218,863.706136,818.1746781,824.0696552,846.8182545,819.7778056,852.4302531,855.1866649,919.9074644,894.7909794,902.6290242,894.2109199,895.9505593,724.2091432,585.139815,572.1952736,553.6696742
2A,-999,EM,GHGa,GgCO2eq,CZ,4832.779712,4037.804428,3854.399427,3516.514822,3613.357495,3605.476941,3911.89568,4039.732143,4191.269209,4085.961892,4171.665369,3864.391554,3607.197604,3689.887879,3878.918662,3860.039464,3979.307867,4368.5708,4134.819937,3452.732132,3428.583487,3827.11206,3490.112855
2A,-999,EM,GHGa,GgCO2eq,DE,22614.87084,20383.29581,21093.04184,21345.90272,22765.12271,23029.09414,21774.74447,22293.75286,22351.03399,22500.90176,22157.02843,20122.07054,19291.65299,20036.97429,20582.301,19423.54397,19844.92646,21117.79606,20183.03426,17784.14446,18247.397,19414.77629,18942.48565
2A,-999,EM,GHGa,GgCO2eq,DK,1068.759082,1246.164974,1365.587326,1382.83848,1406.085615,1405.223807,1513.281642,1680.993422,1614.867182,1595.027376,1616.073226,1611.707247,1656.216542,1526.731189,1643.765782,1543.709795,1607.396891,1605.511956,1320.46532,880.9509976,796.2583199,971.7938925,971.7198642
2A,-999,EM,GHGa,GgCO2eq,EE,628.1785162,636.0156868,387.1602447,246.4815834,350.3866879,366.979378,379.7937725,416.1110316,438.3985264,391.113069,402.3203693,410.6991239,393.8692185,375.5596735,408.2638324,415.7417152,463.3245721,648.9338161,647.739373,281.7962935,339.4881953,452.6214018,468.3828292
2A,-999,EM,GHGa,GgCO2eq,ES,15427.1879,14766.67174,13405.22292,12882.11239,14766.10053,15886.96246,15624.35362,16393.81234,17636.6888,18481.85181,19120.83045,19512.74534,20247.40607,20819.72929,21297.22016,21905.73954,22120.20456,21945.14165,18830.99287,14661.13559,14546.83318,12998.60216,11844.2461
2A,-999,EM,GHGa,GgCO2eq,FI,1269.377025,1098.264587,992.4862627,904.549414,959.373318,930.7763488,962.6051143,989.1692823,997.6703198,1075.244332,1127.194652,1142.977734,1146.848387,1184.287421,1274.338987,1260.20252,1336.030378,1355.772461,1303.321295,937.6697236,1221.399971,1314.337211,1165.444907
2A,-999,EM,GHGa,GgCO2eq,FR,16525.34403,15816.80299,14491.26534,13606.06491,14136.13732,13942.91148,13646.73258,13434.58915,14120.97637,13541.34923,13855.91598,13658.84663,13749.22111,13636.10469,14345.10057,14141.11584,14400.28014,14469.07035,13625.29502,11583.65075,12308.54881,12296.05616,11667.95388
2A,-999,EM,GHGa,GgCO2eq,GB,10528.26587,8859.309745,8348.413733,8381.169317,9448.004048,9508.907239,9848.43368,10296.36488,10458.13883,9795.745909,9560.763729,8989.08163,8913.372211,9118.317371,9397.579197,9300.939242,9462.877895,9692.290476,8494.410575,6168.564529,6386.736114,6703.856645,6504.481401
2A,-999,EM,GHGa,GgCO2eq,GR,6801.8609,6721.931575,6798.807743,6751.23514,6721.117933,7206.153639,7195.064859,7275.703749,7316.113082,7295.652169,7502.889239,7560.194916,7323.464828,7361.384449,7369.432392,7932.340965,7640.647404,7475.986155,6962.974984,5324.516733,4925.079096,3115.642779,3740.924095
2A,-999,EM,GHGa,GgCO2eq,HR,1305.401875,872.5883064,938.9906574,805.08989,976.79749,760.1916922,844.7985166,954.4315483,1027.784309,1285.295218,1423.454794,1644.107341,1638.511215,1620.366193,1731.686055,1785.942445,1917.876654,1949.582736,1857.790889,1460.542963,1432.035088,1220.036348,1187.659061
2A,-999,EM,GHGa,GgCO2eq,HU,3239.973055,2152.510695,1761.222762,1984.285726,2230.107996,2292.569612,2122.265906,2165.514947,2244.319905,2243.744376,2242.38018,2234.449684,2217.736213,2284.675865,2265.693816,2238.367045,2339.135235,2368.500905,2255.746643,1606.433863,1401.574939,1223.756174,1281.144639
2A,-999,EM,GHGa,GgCO2eq,IE,1116.725409,992.3893966,932.9680851,951.1259375,1081.702266,1084.181033,1198.387083,1384.924848,1288.126072,1353.709635,1908.784131,2061.437193,2063.379123,2342.318116,2507.062659,2552.795346,2538.743411,2580.434121,2301.583745,1485.322669,1299.048415,1167.270539,1391.967799
2A,-999,EM,GHGa,GgCO2eq,IT,21302.86042,21256.87112,22067.74303,19612.08633,19121.11448,20976.08394,19282.70022,19528.94241,19787.54552,20595.65082,21455.32225,22329.46694,22392.52973,23310.94925,23896.03917,23480.86512,23536.17676,24027.1583,21729.03248,17466.0518,17553.45759,17003.00848,13976.33871
2A,-999,EM,GHGa,GgCO2eq,LT,2141.744471,2021.373809,1082.46643,500.6186814,483.1311749,424.9321883,405.0097213,441.4874501,508.8638134,419.8044339,357.3369559,359.9064699,354.2226946,363.0024107,425.9516188,444.6159249,598.014192,599.5110036,520.7309978,304.569582,326.4446887,382.0966241,454.6775996
