category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,FARMATMD,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,FARMATMD,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMATMD,-999,-999,kg N/year,BE,100454734.5,92622842.08,92686168.15,94279104.53,94793219.02,97457953.01,97634010.68,97375230.75,97882559.41,97891597.65,70589701.01,67935275.3,67171348.6,63291082.19,59022169.69,56978933.81,56406727.41,53855171.76,51763441.25,51864183.4,51678858.72,50098019.52,49887728.06,49887728.06
4D,FARMATMD,-999,-999,kg N/year,DK,66726975.92,64200971.62,61262439.85,60683615.82,58975433.53,55177995.37,51406428.18,49311976.9,48076246.84,44377033.86,42996620.37,39830457.48,37310763.45,37090519.02,35322735.16,34713104.96,33444337.88,34674862.07,34963191,33391135.59,33490195.91,32949113.21,32180240.95,32461042.28
4D,FARMN2OIND,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMN2OIND,EM,N2O,kt,BE,4.027147259,3.824378184,3.829032257,3.917459467,3.926172854,3.978911308,3.727529529,3.764293424,4.019044892,3.989722096,3.429416182,3.426958849,3.399806474,2.958482616,2.982683154,2.861803444,2.893206423,2.823993436,2.764982246,2.806195611,2.841567018,2.662834144,2.615304821,2.615304821
4D,FARMN2OIND,EM,N2O,kt,DK,2.891891764,2.732427054,2.719917983,2.714353963,2.904639313,2.556462784,2.0177878,1.983790708,2.297110307,2.248801246,2.069259034,1.87005826,1.988352354,1.591912442,1.77396191,1.655199149,1.700322452,1.892866047,1.77092443,1.611710345,1.671130936,1.685956065,1.654659144,1.614333164
4D,FARMN2OIND,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMNLR,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMNLR,EM,N2O,kt,BE,2.448572859,2.36887638,2.372535329,2.435930682,2.436565127,2.447429189,2.19328079,2.234111227,2.480890387,2.451425561,2.320149452,2.359404523,2.34425671,1.963908468,2.055191916,1.966420198,2.006814993,1.977697879,1.95155674,1.991187014,2.029470667,1.875579552,1.831354809,1.831354809
4D,FARMNLR,EM,N2O,kt,DK,1.843325,1.723554643,1.7572225,1.760754286,1.9778825,1.68938,1.2099725,1.208888214,1.541626429,1.551447857,1.393597857,1.244151071,1.402040357,1.009061429,1.218890357,1.1097075,1.174768571,1.347975357,1.221502857,1.0869925,1.144856429,1.168184286,1.148969643,1.104231071
4D,FARMNLR,IEF,N2O,kgN2O-N/kgN,BE,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
4D,FARMNLR,IEF,N2O,kgN2O-N/kgN,DK,0.004389702,0.004205905,0.004396726,0.004520088,0.00521302,0.004574723,0.003510564,0.003617357,0.0047393,0.005133206,0.004945186,0.004550187,0.005321307,0.003988385,0.004788009,0.004422814,0.004802431,0.005251863,0.004673276,0.004109251,0.004336577,0.004505394,0.004589933,0.004354353
4D,FARMNLR,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMNLR,AD,-999,kg N/year,BE,62327309.14,60298671.5,60391808.38,62005508.26,62021657.77,62298197.55,55828965.55,56868285.77,63149937.12,62399923.38,59058349.69,60057569.68,59671988.98,49990397.36,52313976.03,50054332.31,51082563.45,50341400.57,49675989.75,50684760.37,51659253.34,47742024.96,46616304.23,46616304.23
4D,FARMNLR,AD,-999,kg N/year,DK,267222000,260778000,254333000,247889000,241444000,235000000,219333000,212667000,207000000,192333000,179333000,174000000,167667000,161000000,162000000,159667000,155667000,163333000,166333000,168333000,168000000,165000000,159297000,161377000
4D,FARM,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARM,INFOEF,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARM,EM,GHGs,ktCO2eq,BE,4899.029252,4837.965584,4785.108548,4787.521386,4797.45756,4883.596337,4739.745133,4736.235062,4766.608179,4775.407671,4416.063753,4350.804516,4325.274083,4065.684123,4075.943103,3950.62087,3879.895111,3849.458368,3743.078751,3819.435894,3841.737135,3782.058272,3666.527093,3666.527093
4D,FARM,EM,GHGs,ktCO2eq,DK,5361.629123,5209.480298,5232.555415,4790.126446,4894.002134,4711.304197,4319.741636,4408.315695,4419.898482,4375.555628,4195.701915,4071.41689,4162.551754,3824.866519,3867.624885,3838.611441,3860.825844,3930.091797,3971.787553,3760.718339,3736.204129,3772.783559,3668.284431,3757.974183
4D,FARM,EM,CH4,kt,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARM,EM,N2O,kt,BE,16.43969548,16.23478384,16.05741124,16.06550801,16.09885087,16.38790717,15.90518501,15.89340625,15.99532946,16.02485796,14.81900588,14.60001515,14.51434256,13.64323531,13.67766142,13.25711701,13.01978225,12.91764553,12.56066695,12.81689897,12.89173535,12.69147071,12.30378219,12.30378219
