variable_UID,name
E28E8E22-6B13-4E13-92BC-DA794E90520E,[Other Manufacturing Industries and Constructions][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
506E6895-CBDC-4152-A66F-131904D8E9C1,[Other Manufacturing Industries and Constructions][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
09058AB4-C840-4334-9C21-E3D4C69A00EC,[Other Manufacturing Industries and Constructions][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
CB86BE5C-7503-45AA-9709-6B15D6567DE9,[Domestic Aviation][Aviation Gasoline][Emissions][CH4][kt][no source][no method][no target][no option][no type]
5807420D-BD28-4796-AC06-4DA384515300,[Domestic Aviation][Aviation Gasoline][Emissions][CO2][kt][no source][no method][no target][no option][no type]
C74715D7-3441-43AC-B4FE-36C2FFD02BD0,[Domestic Aviation][Aviation Gasoline][Emissions][N2O][kt][no source][no method][no target][no option][no type]
E743C2D2-5C04-4820-9DE9-6744E57A2AA1,[Domestic Aviation][Jet Kerosene][Emissions][CH4][kt][no source][no method][no target][no option][no type]
3E823F67-DB84-4DAD-98D4-49E88B29E317,[Domestic Aviation][Jet Kerosene][Emissions][CO2][kt][no source][no method][no target][no option][no type]
38DC79BC-4F4A-4672-99F1-EACEF10B1CC7,[Domestic Aviation][Jet Kerosene][Emissions][N2O][kt][no source][no method][no target][no option][no type]
034FA202-26F9-4003-98C9-429E2565D5F2,[Road Transportation][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
AF35DCFF-51A4-49ED-909D-B55AC1B6BF04,[Road Transportation][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
96ED141B-BFB5-4907-9957-A570C4A098DE,[Road Transportation][Diesel Oil][Emissions][CH4][kt][no source][no method][no target][no option][no type]
5BC04A8A-524F-4756-B6E7-16AB623C641A,[Road Transportation][Diesel Oil][Emissions][CO2][kt][no source][no method][no target][no option][no type]
F060782B-50F9-49DB-9BD8-F12E83E91FF2,[Road Transportation][Diesel Oil][Emissions][N2O][kt][no source][no method][no target][no option][no type]
AA70C194-A9D9-4F9D-8520-A93C1C2128C3,[Road Transportation][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
B4AAA3E5-183E-4956-B0DB-A761ED6E4894,[Road Transportation][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
5C194B22-D736-4DBA-AE25-42BEC208BC1D,[Road Transportation][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
830D556F-35EA-411D-BD80-409C8CF810DB,[Road Transportation][Gasoline][Emissions][CH4][kt][no source][no method][no target][no option][no type]
A5336772-AACF-4B76-A971-9B3550C39183,[Road Transportation][Gasoline][Emissions][CO2][kt][no source][no method][no target][no option][no type]
04D5F15A-7FCE-4DF3-B532-32D79905F30E,[Road Transportation][Gasoline][Emissions][N2O][kt][no source][no method][no target][no option][no type]
737A8DA6-54BC-4BC8-809C-DB4F41886C69,[Road Transportation][Liquefied Petroleum Gases (LPG)][Emissions][CH4][kt][no source][no method][no target][no option][no type]
9E1F338F-422D-4EFB-8954-4FB95BDC6672,[Road Transportation][Liquefied Petroleum Gases (LPG)][Emissions][CO2][kt][no source][no method][no target][no option][no type]
5F2F0BA2-D65F-4E88-86CA-12B1CC560264,[Road Transportation][Liquefied Petroleum Gases (LPG)][Emissions][N2O][kt][no source][no method][no target][no option][no type]
362AD3BA-4C82-4B14-9915-6FC7C6F2762F,[Road Transportation][Other Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
C1C5347E-DD24-4AA6-959F-8984D7111E32,[Railways][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
85506EF6-018C-452C-926A-46D17ECA2763,[Railways][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
D2493988-547D-4B53-9ABE-F7C9559FA9B0,[Railways][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
6CFFCCD2-4300-42A1-BA9D-0FC9553952F5,[Railways][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
1639952E-99D0-4BE9-80BC-2A6D59BC9AA4,[Railways][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
6A91EE06-943A-455D-9536-6B469D9132F8,[Railways][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
3B1160AE-6483-4C40-B678-56AF7314174F,[Domestic Navigation][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
6CA933CD-CCDE-47C4-83C2-EC19B17A46CA,[Domestic Navigation][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
781C87A9-3C2E-45CE-A866-1F087F3FEA8E,[Domestic Navigation][Gas/Diesel Oil][Emissions][CH4][kt][no source][no method][no target][no option][no type]
786B1C5F-4E71-4005-AC4A-4AAF7C26A283,[Domestic Navigation][Gas/Diesel Oil][Emissions][CO2][kt][no source][no method][no target][no option][no type]
55486292-AC09-4880-9E03-C7740A008BDD,[Domestic Navigation][Gas/Diesel Oil][Emissions][N2O][kt][no source][no method][no target][no option][no type]
CAECD214-0DC5-4EAF-974A-C09CD5E8B327,[Domestic Navigation][Gasoline][Emissions][CH4][kt][no source][no method][no target][no option][no type]
C80A658E-3BB4-43FA-AE43-EE6E9BDE879A,[Domestic Navigation][Gasoline][Emissions][CO2][kt][no source][no method][no target][no option][no type]
39CC9F0C-6599-4235-965B-5041953886A2,[Domestic Navigation][Gasoline][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DB477C48-D08B-45F5-9D2A-EC80869CA2F6,[Domestic Navigation][Other Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
1CD3055E-6B42-4E5B-9E52-41452761279F,[Domestic Navigation][Residual Fuel Oil][Emissions][CH4][kt][no source][no method][no target][no option][no type]
86646C53-F4B3-4B3F-B01D-499F68E9A45F,[Domestic Navigation][Residual Fuel Oil][Emissions][CO2][kt][no source][no method][no target][no option][no type]
62918168-9FCA-45D6-A22B-1E7EBACF8C1B,[Domestic Navigation][Residual Fuel Oil][Emissions][N2O][kt][no source][no method][no target][no option][no type]
2F9C40CF-CB2D-4D93-9CE9-D8AE4248CD54,[Other Transportation][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
FDD1B8C0-5202-47A2-B844-77B850111F3A,[Other Transportation][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
01C24F47-94EE-4DC2-A217-DF314DD49748,[Other Transportation][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
