categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ALVST,EMCH4,Gg,DE,1409.253837,1247.183464,1206.843153,1199.147039,1193.804515,1194.994199,1192.852338,1156.24104,1137.100659,1136.794008,1107.831597,1119.087898,1075.72735,1058.203345,1028.723421,1021.438472,996.9710247,996.8084382,1015.303517,1016.329827,1007.432204,992.9806644,992.0311638
4ALVST,EMCH4,Gg,DK,154.6157051,154.8285632,152.9489215,154.1645489,149.7296073,149.2165676,148.2402106,143.675739,143.0578377,137.6597127,136.2461515,138.6062674,136.7452089,134.9065494,131.0865598,130.3293045,130.4684969,133.5685156,134.776216,134.4156414,136.2841438,135.2497273,138.2758601
4ALVST,EMCH4,Gg,EE,48.42922938,45.38257579,39.45545593,31.18016753,28.14771445,24.8761477,23.64256321,23.38845179,22.65183238,19.53094166,19.20593789,19.90086307,18.76771788,19.12353646,19.34581748,19.48875985,19.54856798,19.20917428,19.27677065,18.99333849,19.30977089,19.55586001,20.16832494
4ALVST,EMCH4,Gg,ES,573.6276227,575.116613,567.1575073,565.6510077,562.8383917,556.4554562,598.8247165,588.6796397,595.0116154,601.9425235,608.2045856,619.9074598,619.2229533,625.9449877,604.6661015,593.3078642,588.1668403,597.5803007,572.5948783,569.3682891,557.1043181,535.4924719,518.86538
4ALVST,EMCH4,Gg,FI,87.23252536,83.76884002,80.85679144,81.45436181,81.53214319,77.1577566,77.281515,78.39300332,76.76410634,75.61783498,76.09849611,75.25428416,76.09113531,75.31284199,74.7309834,74.19358305,74.1858361,73.39575445,72.76530759,73.49225636,75.03444997,74.19273983,73.5263063
4ALVST,EMCH4,Gg,FR,1463.87908,1439.437567,1420.525042,1408.871669,1414.286795,1423.120529,1420.824955,1405.715901,1397.433254,1397.12979,1453.300261,1454.83791,1427.364045,1387.723355,1369.533531,1366.116909,1369.715509,1380.47052,1398.660543,1383.689437,1376.983028,1354.239802,1342.899416
4ALVST,EMCH4,Gg,GB,894.0366712,881.873864,882.3159016,880.9366715,886.4495524,878.2614035,889.8082871,878.1721493,880.8753252,881.8207977,850.8384144,803.3214782,789.9933612,795.1596064,799.8008799,789.7734723,783.4170706,768.2619135,751.2062739,737.9366809,741.4720318,737.7045044,736.3778254
4ALVST,EMCH4,Gg,GR,154.5847859,153.4885369,152.6312278,150.8542161,150.8066986,151.5840547,153.120528,153.1560284,154.288381,154.41857,154.3135257,154.1781611,155.8279772,156.0619793,156.1169977,156.478349,156.1669879,155.5802273,154.2034768,153.8403791,153.5162515,153.5269289,152.431253
4ALVST,EMCH4,Gg,HR,59.1390281,54.22595075,43.08225953,41.95585995,37.93546354,36.21598148,34.51633445,34.3749314,33.94808805,33.85218338,33.37162645,34.247201,33.87087266,35.43933113,36.85996524,38.5176176,39.24033076,38.10247935,39.34640104,38.87189652,38.51916389,38.31375814,38.51116818
4ALVST,EMCH4,Gg,HU,143.1567921,134.0590105,116.2444772,98.34283829,86.77778333,84.77025432,84.65213451,82.67572861,82.1980754,83.14319836,81.989006,78.79750314,77.87359938,77.0726811,74.88121365,73.91127942,71.81477729,71.93314502,70.98999255,69.95398021,69.24867338,69.20297541,71.53545802
